Protein Group Name	Representative Protein Description	Total Amino Acids	Sequence Coverage (%)	Sequence Coverage Unshared only (%)	Sequence Redundancy (%)	Numbers of Proteins	# of PSMs	# of Unique Peptides	# Shared Peptides	# PSMs in Experiment	# Unique Seq in Experiment	# Shared Peptides in Experiment	P-Score	# Quantified PSMs	# Quantified Peptides	Uniprot IDs	Gene Names	Uniprot	tmpSum	0min_1	0min_2	0min_3	0min_4	5min_1	5min_2	5min_3	60min_1	60min_2	60min_3	mean0min	mean5min	log05	mean60min	log060	pVal05	qVal05	pVal060	qVal060
PG242073	sp|P62805|H4_HUMAN Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2	103	63.11	63.11	61.17	1	1178	22	0	143	21	0	0.0	113	20	P62805	HIST1H4A	P62805	134712229.425	6920384.7915	7578417.8824000005	7578417.8824000005	6670085.547900001	15145885.405000001	15145885.405000001	15145885.405000001	15145885.405000001	15145885.405000001	15145885.405000001	7186826.5260499995	15145885.405000001	1.0754991501616604	15145885.405000001	1.0754991501616604	2.31634466442727e-07	0.0001301883501532	2.31831282637089e-07	5.85793538016305e-05
PG251093	sp|P14625|ENPL_HUMAN Endoplasmin OS=Homo sapiens GN=HSP90B1 PE=1 SV=1	803	58.41	56.66	19.8	1	255	53	2	47	38	2	0.0	29	25	P14625	HSP90B1	P14625	33944951.31	3954472.6827	3996775.8075	3954472.6827	4054611.6244	3717640.8125	2996578.7517	3143087.8254	2777163.8464	2788115.0266	2204781.5393	3990083.199325	3285769.1298666666	-0.28018771432577105	2590020.1374333333	-0.6234555142306415	0.0063570309414038	0.110846973000075	0.0001266303837139	0.0029688020185729
PG248540	sp|P02768|ALBU_HUMAN Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2	609	9.36	9.36	3.448	3	101	8	0	24	7	0	5.96e-99	15	5	P02768|A0A0C4DGB6|H0YA55	ALB	P02768	17737987.2777	363663.12281	303820.01991	449850.05133999995	319090.1137	2253221.0625	2534281.0042999997	3629104.8053	2220741.7260000003	2633958.4216	3122650.2585	359105.82693999994	2805535.6240333333	2.9657952640957252	2659116.8020333336	2.8884661813130927	7.8685974854706e-07	0.0003194893654708	2.27000240993193e-07	5.85793538016305e-05
PG247732	sp|Q99986|VRK1_HUMAN Serine/threonine-protein kinase VRK1 OS=Homo sapiens GN=VRK1 PE=1 SV=1	396	63.38	56.06	21.21	1	80	23	2	10	9	1	0.0	9	8	Q99986	VRK1	Q99986	17271696.4152	2292706.1824000003	2204781.5393	2155152.793	1515836.6459	1912127.6232999999	1627264.0378	1770490.3217	1360882.8832	1368623.6445	931694.5482300001	2042119.2901499998	1769960.6609333334	-0.20634984814362714	1220400.3586433334	-0.7427126345335153	0.236159987614643	0.400469628695123	0.0048584078631307	0.0178667295197917
PG242365	sp|P31942|HNRH3_HUMAN Heterogeneous nuclear ribonucleoprotein H3 OS=Homo sapiens GN=HNRNPH3 PE=1 SV=2	346	45.66	43.35	0.0	2	108	12	1	17	9	1	1.27e-173	16	8	P31942|P31942-2	HNRNPH3	P31942	15315808.3488	1998948.834	1991283.0111000002	1987207.0408	1995145.5609000002	1553092.5171	1253658.8645	1344915.1036	1067040.6177400001	1264971.9668	841118.23539	1993146.1117	1383888.8284	-0.5263194218343417	1057710.27331	-0.914102973474463	0.0001357443746506	0.0160756194387585	9.84941603489151e-05	0.002538732000585
PG251733	tr|E9PRY8|E9PRY8_HUMAN Elongation factor 1-delta OS=Homo sapiens GN=EEF1D PE=1 SV=1	697	34.58	31.71	13.34	2	318	28	3	18	14	2	0.0	11	9	P29692-2|E9PRY8	EEF1D	E9PRY8	15142484.8974	2002400.6669	1903856.1254	2002400.6669	1856364.8715	1661917.1746	1413981.4834	1510945.709	1091170.0238	962324.8458900001	720184.84633	1941255.5826750002	1528948.1223333331	-0.3444506170746828	924559.90534	-1.0701513687046147	0.0009989112839016	0.0489780430800684	5.05701612868322e-05	0.0017856963570526
PG250077	sp|P09496-2|CLCA_HUMAN Isoform Non-brain of Clathrin light chain A OS=Homo sapiens GN=CLTA	218	39.91	39.91	7.798	1	43	11	0	11	11	0	4.91e-143	8	8	P09496-2	CLTA	P09496-2	14010552.3183	1778313.7887000002	1688881.4526	1672657.4133	1764276.4023000002	1532503.3177999998	1334846.0661	1359228.8467	1042218.0817600001	1011583.68239	753317.82201	1726032.264225	1408859.4101999998	-0.2929317800732422	935706.5287200002	-0.8833314079326849	0.0017085675730958	0.0606703603136863	6.62446598580881e-05	0.0020728833358054
PG245557	sp|P18077|RL35A_HUMAN 60S ribosomal protein L35a OS=Homo sapiens GN=RPL35A PE=1 SV=2	110	62.73	62.73	31.82	1	58	12	0	13	10	0	1.85e-146	8	7	P18077	RPL35A	P18077	14008491.6093	1919662.9531	1783134.9526	1760269.9695000001	1518347.0155	1441249.9869	1476811.292	1353295.4393	984537.79158	1038258.4418500001	664933.99664	1745353.7226749999	1423785.5727333333	-0.2937875627598853	895910.07669	-0.962093610275181	0.0094581550958484	0.122191463829015	0.0003755169020475	0.0049649638476408
PG255292	sp|P30041|PRDX6_HUMAN Peroxiredoxin-6 OS=Homo sapiens GN=PRDX6 PE=1 SV=3	224	87.95	87.95	42.86	1	113	24	0	10	10	0	0.0	9	9	P30041	PRDX6	P30041	13464495.4619	1649602.5757	1635017.2577	1600744.96	1555755.149	1555755.149	1272398.1728	1305480.7015999998	1035237.86726	1007892.1739700001	706214.77627	1610279.9856	1377878.0078	-0.22486339427177118	916448.2725	-0.8131861996147778	0.0177743757839833	0.152517676797093	0.000280493184147	0.0043633310991685
PG250826	sp|Q9HB71|CYBP_HUMAN Calcyclin-binding protein OS=Homo sapiens GN=CACYBP PE=1 SV=2	228	61.84	61.84	44.74	1	65	19	0	13	9	0	8.48e-277	10	8	Q9HB71	CACYBP	Q9HB71	13355682.245299999	1665513.6167	1548591.9773	1679881.2208	1778313.7887000002	1476811.292	1273524.4893	1258457.399	898411.58669	959647.81885	676856.62764	1668075.150875	1336264.3934333334	-0.3199787993257855	844972.01106	-0.981208827875608	0.0032877924361915	0.0916138928020407	5.22573429279413e-05	0.0018006049359891
PG242252	sp|P49773|HINT1_HUMAN Histidine triad nucleotide-binding protein 1 OS=Homo sapiens GN=HINT1 PE=1 SV=2	126	89.68	89.68	28.57	1	65	10	0	12	7	0	2.06e-145	10	5	P49773	HINT1	P49773	13271877.631299999	1578474.9006	1526670.5208	1472937.4479	1591902.2421	1499351.7321000001	1232599.7457	1346962.869	1059134.67411	1070595.23027	729472.0491299999	1542496.2778500002	1359638.1156000001	-0.18204429650942947	953067.3178366668	-0.6946169835836086	0.0356328010645765	0.194929885561964	0.0008666658404455	0.0070641924784417
PG246436	sp|O75347|TBCA_HUMAN Tubulin-specific chaperone A OS=Homo sapiens GN=TBCA PE=1 SV=3	108	72.22	72.22	27.78	1	46	13	0	10	9	0	7.06e-186	7	7	O75347	TBCA	O75347	12766295.707	1620417.6812	1610251.4743000001	1632197.0578	1550946.2261	1459426.4316	1196403.2726	1163123.966	935466.4063500001	835126.55654	573872.77434	1603453.1098500001	1272984.5567333333	-0.3329672481030364	781488.5790766667	-1.0368854708456006	0.0039416573174523	0.0991419686023467	0.0001614580192233	0.0033379665717355
PG258297	tr|B4DNK4|B4DNK4_HUMAN Pyruvate kinase OS=Homo sapiens GN=PKM PE=1 SV=1	457	81.62	22.54	46.61	1	570	48	36	96	35	27	0.0	23	7	B4DNK4	PKM	B4DNK4	12266881.3502	1455649.4047	1399840.3347	1429767.599	1441249.9869	1364383.2046	1306587.7471	1151531.1871	948785.2124	905992.37931	736274.72714	1431626.8313250002	1274167.3795999999	-0.16810067978939847	863684.1062833333	-0.7290798417156759	0.0307800323650632	0.184564362760624	4.74684476234648e-05	0.0017726989245037
PG245583	sp|P35268|RL22_HUMAN 60S ribosomal protein L22 OS=Homo sapiens GN=RPL22 PE=1 SV=2	128	68.75	62.5	10.94	1	35	10	1	13	9	1	6.27e-138	9	5	P35268	RPL22	P35268	11437651.177600002	1449678.8683	1334846.0661	1354950.2190999999	1138739.009	1127826.3955	1230850.2772	1114152.783	919496.36849	930736.5956	743020.6146099999	1319553.540625	1157609.8185666667	-0.1889008252941147	864417.8595666667	-0.6102491040636182	0.0699713677961945	0.253297042206002	0.000668253027195	0.0062028302823322
PG247998	sp|P31946|1433B_HUMAN 14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB PE=1 SV=3	246	74.8	42.28	22.76	2	136	20	11	27	15	8	2.15e-287	8	7	P31946|P31946-2	YWHAB	P31946	10538228.573900001	1263075.526	1174153.3355	1285098.9379	1427136.4206	1081068.1716	853103.86613	1006423.8853	870885.05002	861897.21239	669719.20977	1287366.055	980198.64101	-0.3932762821328468	800833.82406	-0.6848475194615455	0.0043573445002233	0.101605587954949	0.0003146297911626	0.0046161848556854
PG243502	sp|Q04760|LGUL_HUMAN Lactoylglutathione lyase OS=Homo sapiens GN=GLO1 PE=1 SV=4	184	61.96	61.96	22.28	1	50	12	0	7	6	0	8.95e-164	6	6	Q04760	GLO1	Q04760	10099427.9452	1238926.1401	1193915.8289	1167729.8547	1191398.3833	1088155.4586	1085043.3208	971139.52191	709219.29327	748621.7335	662897.86392	1197992.55175	1048112.7671033335	-0.19282499284049728	706912.9635633333	-0.7610144347326472	0.0095596872280753	0.122944336279578	1.56807783155946e-06	0.000187684782827
PG242733	sp|P19823|ITIH2_HUMAN Inter-alpha-trypsin inhibitor heavy chain H2 OS=Homo sapiens GN=ITIH2 PE=1 SV=2	946	9.514	9.514	0.0	2	19	9	0	6	4	0	2.37e-113	6	4	P19823|Q5T985	ITIH2	P19823	9223991.8266	297980.81259	284435.83541	347441.52617	279707.96742	1003922.6449200001	1267207.0084000002	1686956.8002	1068215.8520199999	1413981.4834	1649602.5757	302391.53539750003	1319362.1511733334	2.125350962678944	1377266.63704	2.1873182293697084	3.53318015293169e-06	0.0007172901442974	1.00737484528965e-06	0.0001347588290771
PG250902	sp|O43809|CPSF5_HUMAN Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens GN=NUDT21 PE=1 SV=1	227	58.15	58.15	16.74	1	46	14	0	6	6	0	1.15e-202	4	4	O43809	NUDT21	O43809	8913273.179299999	1122317.7055	1104045.5907	1067040.6177400001	1070595.23027	1009563.78918	900804.08071	882726.59135	646270.2122000001	668804.64223	471980.27597	1090999.7860525	931031.48708	-0.22874895370517115	595685.0434666667	-0.8730291774614815	0.0052086448200812	0.105743535083822	9.9394620303425e-05	0.002538732000585
PG248946	sp|P56385|ATP5I_HUMAN ATP synthase subunit e; mitochondrial OS=Homo sapiens GN=ATP5I PE=1 SV=2	69	73.91	73.91	26.09	1	22	8	1	6	6	0	1.34e-102	5	5	P56385	ATP5I	P56385	8568307.101300001	1135687.6309	1091170.0238	1097915.435	969835.9447100001	981220.6898	948785.2124	829856.3048	609977.48491	573243.7477300001	346547.12276999996	1073652.2586025	919954.069	-0.22289306169683204	509922.7851366667	-1.0741760904425481	0.0252131239202183	0.171861030501323	0.0004671631593466	0.0053119458501995
PG252666	sp|P52565|GDIR1_HUMAN Rho GDP-dissociation inhibitor 1 OS=Homo sapiens GN=ARHGDIA PE=1 SV=3	204	47.55	47.55	18.14	1	40	12	0	9	7	0	8.97e-149	7	6	P52565	ARHGDIA	P52565	8415748.074499998	1237210.4429	1137347.2133	1137347.2133	1038258.4418500001	1036633.2900699999	746139.4028700001	846204.89024	488253.60319999995	490696.4425	245312.71600000001	1137540.8278375	876325.86106	-0.3763789867788535	408087.5872333333	-1.478967592425124	0.0109632425456052	0.128243444336296	0.0002540775381068	0.0042175549874712
PG244922	sp|P18621-3|RL17_HUMAN Isoform 3 of 60S ribosomal protein L17 OS=Homo sapiens GN=RPL17	228	50.44	47.37	35.09	5	149	16	1	15	11	1	1.99e-252	8	8	P18621|P18621-3|J3QQT2|A0A087WXM6|J3KRX5	RPL17	P18621-3	8080937.354500001	1097915.435	1016492.87854	1028439.73301	860953.6627799999	850223.4459200001	769080.6566999999	789852.6949	585316.83553	609977.48491	480777.11169999995	1000950.4273325	803052.26584	-0.3178047333595252	558690.4773799999	-0.8412493900634809	0.0082772382892213	0.118102424856349	8.9457690129807e-05	0.002480954935755
PG248367	sp|P05141|ADT2_HUMAN ADP/ATP translocase 2 OS=Homo sapiens GN=SLC25A5 PE=1 SV=7	298	58.39	19.13	21.48	1	128	23	17	20	16	10	5.782455683e-314	4	4	P05141	SLC25A5	P05141	7584485.7464	1091170.0238	914160.43243	821797.2932399999	723991.51388	848602.59904	693832.85577	762416.37526	576410.56935	649077.53684	514664.0378599999	887779.8158375	768283.9433566667	-0.2085623060030427	580050.7146833333	-0.6140228658758424	0.20219346052031	0.372446313509887	0.0035924890307158	0.0152137478151363
PG246853	sp|Q9BWD1-2|THIC_HUMAN Isoform 2 of Acetyl-CoA acetyltransferase; cytosolic OS=Homo sapiens GN=ACAT2	426	37.32	37.32	18.54	2	60	16	0	11	8	0	2.4499999999999996e-228	9	7	Q9BWD1|Q9BWD1-2	ACAT2	Q9BWD1-2	7578450.695	1026214.6634600001	1006423.8853	972480.48866	878741.37979	815582.2537700001	758848.31729	707155.51513	501290.7412599999	510643.73482	409002.40783000004	970965.1043025	760528.6953966668	-0.3524167641960208	473645.62797	-1.035611379675491	0.0018218143295065	0.0616427414176499	7.23488732493205e-06	0.0004985777346759
PG244234	sp|P55209|NP1L1_HUMAN Nucleosome assembly protein 1-like 1 OS=Homo sapiens GN=NAP1L1 PE=1 SV=1	391	51.92	47.83	5.882	5	122	15	3	16	8	2	4.3900000000000004e-215	9	6	P55209|P55209-2|H0YIV4|F8VY35|F5H4R6	NAP1L1	P55209	7382872.6663	1074735.2561	1028439.73301	994486.84651	845296.89494	847247.8221000001	644978.9439399999	690048.43044	435826.75997	468794.67377000005	370614.60979	985739.68264	727425.0654933335	-0.4384080664766577	425078.68117666664	-1.2134767994667233	0.0061758554606282	0.110614049158031	6.39606807728324e-06	0.0004670530396421
PG249212	sp|O75531|BAF_HUMAN Barrier-to-autointegration factor OS=Homo sapiens GN=BANF1 PE=1 SV=1	89	77.53	77.53	12.36	1	37	9	1	7	6	1	4.75e-113	5	4	O75531	BANF1	O75531	7364572.1407	1044624.8723200001	855943.02171	911921.75547	938960.4149600001	874455.0497300001	476515.24400000006	807668.9879300001	533472.01937	538069.22835	379456.22051	937862.5161150001	719546.42722	-0.38228867271373806	483665.82274333324	-0.9553658532565296	0.0708241068355224	0.253297042206002	0.0001295141286382	0.0030054265615488
PG251967	sp|Q14232|EI2BA_HUMAN Translation initiation factor eIF-2B subunit alpha OS=Homo sapiens GN=EIF2B1 PE=1 SV=1	305	51.48	36.72	13.11	1	53	16	5	6	6	2	9.7e-238	4	4	Q14232	EIF2B1	Q14232	7316634.163	879754.6801100001	849626.76228	782972.0164099999	810676.53126	821797.2932399999	778195.84228	734563.63289	595092.1489299999	603934.00379	461887.16834	830757.497515	778185.58947	-0.09431314360889181	553637.7736866666	-0.5854850294138216	0.166604780423391	0.347925652522739	0.000505371580355	0.0054614191295156
PG245558	sp|Q9Y3U8|RL36_HUMAN 60S ribosomal protein L36 OS=Homo sapiens GN=RPL36 PE=1 SV=3	105	52.38	52.38	28.57	1	51	11	1	11	7	1	2.21e-141	5	3	Q9Y3U8	RPL36	Q9Y3U8	7069926.4734000005	899921.35153	848602.59904	905992.37931	773761.64469	746139.4028700001	754575.58057	696128.3150899999	517061.69168999995	528080.8325	417975.19782	857069.4936425	732281.0995100001	-0.22701462717349655	487705.9073366667	-0.8134007397950752	0.0126579445158247	0.135250434233346	5.10394424150703e-05	0.0017856963570526
PG252002	sp|O00303|EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens GN=EIF3F PE=1 SV=1	357	49.58	43.98	12.89	1	85	16	4	10	10	3	1.07e-224	6	6	O00303	EIF3F	O00303	7018627.089500001	844099.68374	841118.23539	855943.02171	809680.5707	774763.35427	608828.38341	660400.78761	552405.11935	587328.4993100001	501290.7412599999	837710.3778850001	681330.8417633333	-0.2980960316630882	547008.1199733334	-0.6148892972697988	0.0067785385752227	0.113204437878874	1.63532811404185e-05	0.0008084666683317
